"sequencehash","timestamptime","sourcehash","experimentalunithash","grouphash"
"5015ce1d736d2b4269e547edb6a97fc5","03/12/2007 00:50:00","d8189b34460fab7a0f21969ca3559697","c0b290422c3334d3e2880f9b41c77ab1","5153ab451a0ca9f6d282c114cbc2b0cf"
"52211459979e7b1506cc216bc58d53b7","03/12/2007 15:59:00","51de8f744eefd46cfc6d94afb3da9f2e","553065962c72a797e3e44ab8e90c8317","8efa0f48d276a6df1bdc75e4e238071d"
"5532614f5de50c2d38ba6eb5491b138b","04/12/2007 14:49:00","24cfcbb6c9d079cc38db61a37dc1e986","b6d63dc5b360d72996be0abca4a52574","305e30f31fad10e9d7eab9061cc4f9f1"
"56301a13b875640e0f361a0747f2f739","03/12/2007 00:50:00","78c0b7c93b6491a6bac81245752cc429","c0b290422c3334d3e2880f9b41c77ab1","518aba3b5a6ee29dc894e52a0d3499b3"
"564be331ed8bdc94a2fc66f3244405b4","04/12/2007 12:10:00","892ecac1ff7987c8d558897340c54111","887b419552d85ea9bdec287aabfaf9e7","86e92f120fa45791add7bcb91478db72"
"5a4e99ec46f1acba25e55976afa80ed1","04/12/2007 12:10:00","8aca925c04299bd5a4062cd1e7e37a54","887b419552d85ea9bdec287aabfaf9e7","b53460fa7e67bc33c8d28445dc2217e7"
"612b47242e954f4db81e2d8bb4797d7a","03/12/2007 01:07:00","13e46e424b577c69b2a7c0d17494c7a5","c0b290422c3334d3e2880f9b41c77ab1","7976233373efbe9835adb10a9f7321f8"
"66560c79d3a3901c0a51de90450e6dcb","04/12/2007 14:29:00","f26a3b67af1b0a4e2880254920c0b781","b6d63dc5b360d72996be0abca4a52574","7db478437cba7e44ce17797e5cbde590"
"691a857e5935265a40c2584a2d9a94d9","06/12/2007 16:47:00","1ad6e603d1fb00cad2b7e71db0c26eb1","ee8988c76f84da3ff51d905cb68d5435","cec30170b94e7db106c163abb80830ae"
"6b3068403a89898182b99ee1c0c0410a","03/12/2007 17:05:00","d87e9982e3c759589dfa38a14ba75a00","02a2f9c9ae9afa1e2d90565b11d5b29b","956f2147fc239d23dd8436ee3793a205"
"6c35a84270b1580eb18f5b0df01a6a49","04/12/2007 12:10:00","4f80c546b5c3657d3d79a13fa57dddaa","887b419552d85ea9bdec287aabfaf9e7","4b23b5eadb9a4e595b069a474e8af4e8"
"6d5e5ea6b0e0696513653fc41ea6ae89","03/12/2007 15:29:00","43a351a1b8ba0b43d3125a1cb538371f","553065962c72a797e3e44ab8e90c8317","0e918b29e2135d64d6d196ea0f87a266"
"6ef51b2fba8368fa6d08d01c34476f99","03/12/2007 01:07:00","4ac5474ef032482790d25cac77345ba2","c0b290422c3334d3e2880f9b41c77ab1","d0a02b94ce4ff8929bb0ef5261aa1892"
"6fb6cb1ca2c4cbf0915946c4a98efe55","03/12/2007 15:29:00","278df21254e6cd9ec8303da93cfda291","553065962c72a797e3e44ab8e90c8317","67f78ddc12a948650db6e0203c1c19ac"
"719025f13991ad8907ed8e3217f1c25b","03/12/2007 17:13:00","364e9990f2f4e835a0b953f56bfb2e1f","02a2f9c9ae9afa1e2d90565b11d5b29b","68e4b015ab24586e9c73e9fee5375942"
"727582240c43efe0c30b03d0c1717b3a","03/12/2007 00:57:00","cfd1823d2d49990fa3de7b7263cca20b","c0b290422c3334d3e2880f9b41c77ab1","11b0b4daf5fdc5b7ee5c577350e6d78a"
"729b4c8a0013050166babb722877dffc","03/12/2007 16:47:00","cc6d14d284faae7363423baa2f89f09b","02a2f9c9ae9afa1e2d90565b11d5b29b","b082b230ecd57e873ef6708663cd4d74"
"79c30796e1f28f66338d0e0930ff2b0b","03/12/2007 16:55:00","0ef7ef121d00062b4ae2df2326c02b55","02a2f9c9ae9afa1e2d90565b11d5b29b","dc1fcb3d27c102f771c17b68661db85b"
